table with row headers in column A and column headers in rows 3 through 6  (leading dots indicate sub-parts),,,,,,,,,,,,,,
,Total Population Change1,Natural Increase,Vital Events,,Net Migration,,,Total Population Change1,Natural Increase,Vital Events,,Net Migration,,
,,,Births,Deaths,Total,International2,Domestic,,,Births,Deaths,Total,International2,Domestic
".Crittenden County, Arkansas","-2,952","2,556","7,190","4,634","-5,562",-10,"-5,552",-408,188,722,534,-598,-7,-591
".Cross County, Arkansas","-1,459",-38,"2,007","2,045","-1,436",16,"-1,452",-211,-13,194,207,-200,2,-202
".Dallas County, Arkansas","-1,115",-261,731,992,-857,8,-865,-143,-6,73,79,-135,-2,-133
".Desha County, Arkansas","-1,641",13,"1,491","1,478","-1,673",60,"-1,733",-146,-37,135,172,-109,-1,-108
".Drew County, Arkansas",-298,322,"2,165","1,843",-637,27,-664,-109,30,228,198,-139,-5,-134
".Faulkner County, Arkansas","12,769","5,961","14,296","8,335","6,758",916,"5,842",869,596,"1,516",920,273,41,232
".Franklin County, Arkansas",-422,-277,"1,781","2,058",-139,33,-172,-49,-12,178,190,-35,-1,-34
".Fulton County, Arkansas",241,-580,"1,069","1,649",828,31,797,169,-67,134,201,237,5,232
".Garland County, Arkansas","3,387","-2,502","10,186","12,688","5,924",-10,"5,934",420,-276,"1,071","1,347",699,-27,726
".Grant County, Arkansas",423,-3,"1,748","1,751",433,-7,440,85,-16,172,188,101,-6,107
".Greene County, Arkansas","3,235",840,"5,289","4,449","2,396",48,"2,348",-14,82,587,505,-94,-7,-87
".Hempstead County, Arkansas","-1,055",738,"2,955","2,217","-1,799",-105,"-1,694",-153,58,291,233,-212,-13,-199
".Hot Spring County, Arkansas",760,-333,"3,298","3,631","1,076",29,"1,047",99,-18,361,379,118,-1,119
".Howard County, Arkansas",-579,145,"1,697","1,552",-729,55,-784,-100,1,172,171,-101,-2,-99
".Independence County, Arkansas","1,184",558,"4,425","3,867",645,137,508,57,83,513,430,-24,-7,-17
".Izard County, Arkansas",-74,-667,"1,079","1,746",595,54,541,47,-69,119,188,115,2,113
".Jackson County, Arkansas","-1,279",-286,"1,813","2,099","-1,002",-5,-997,-34,-19,187,206,-14,-2,-12
".Jefferson County, Arkansas","-10,632",520,"8,325","7,805","-11,287",172,"-11,459","-1,243",-39,788,827,"-1,208",6,"-1,214"
".Johnson County, Arkansas","1,033",782,"3,223","2,441",271,216,55,-81,74,326,252,-154,-4,-150
".Lafayette County, Arkansas","-1,019",-261,649,910,-761,15,-776,-55,-33,61,94,-21,-1,-20
".Lawrence County, Arkansas","-1,004",-474,"1,760","2,234",-537,4,-541,-26,-55,194,249,29,-3,32
".Lee County, Arkansas","-1,571",-202,901,"1,103","-1,382",5,"-1,387",-119,-39,81,120,-80,0,-80
".Lincoln County, Arkansas","-1,117",-176,"1,053","1,229",-955,11,-966,-160,-46,100,146,-112,1,-113
".Little River County, Arkansas",-909,-258,"1,292","1,550",-656,-35,-621,-38,-40,136,176,3,-3,6
".Logan County, Arkansas",-895,-242,"2,389","2,631",-651,188,-839,-207,-61,235,296,-146,10,-156
".Lonoke County, Arkansas","4,927","2,705","8,660","5,955","2,260",640,"1,620",-82,168,858,690,-254,-12,-242
".Madison County, Arkansas",853,260,"1,866","1,606",597,73,524,214,66,207,141,147,-5,152
".Marion County, Arkansas",50,-923,"1,419","2,342",984,32,952,29,-137,141,278,168,-4,172
".Miller County, Arkansas",-205,"1,135","5,449","4,314","-1,311",-214,"-1,097",-105,49,520,471,-151,-28,-123
".Mississippi County, Arkansas","-5,830","1,199","5,904","4,705","-7,097",-25,"-7,072",-585,82,580,498,-671,-19,-652
".Monroe County, Arkansas","-1,454",-221,831,"1,052","-1,246",-3,"-1,243",-179,-47,67,114,-133,0,-133
".Montgomery County, Arkansas",-511,-428,792,"1,220",-77,42,-119,76,-60,88,148,137,4,133
".Nevada County, Arkansas",-768,-95,989,"1,084",-675,-18,-657,-56,-2,102,104,-54,-3,-51
".Newton County, Arkansas",-562,-192,714,906,-371,5,-376,-47,-24,84,108,-22,0,-22
".Ouachita County, Arkansas","-2,746",-676,"2,606","3,282","-2,077",40,"-2,117",-238,-89,249,338,-147,0,-147
".Perry County, Arkansas",11,-130,"1,049","1,179",149,15,134,75,-21,117,138,97,1,96
".Phillips County, Arkansas","-3,973",305,"2,759","2,454","-4,337",-25,"-4,312",-272,12,267,255,-285,-4,-281
".Pike County, Arkansas",-569,-241,"1,040","1,281",-322,31,-353,52,-28,102,130,82,2,80
".Poinsett County, Arkansas","-1,048",-263,"2,877","3,140",-773,67,-840,-375,-24,310,334,-352,-4,-348
".Polk County, Arkansas",-690,-338,"2,151","2,489",-338,43,-381,-55,-71,215,286,18,-3,21
".Pope County, Arkansas","2,319","1,899","7,309","5,410",423,469,-46,478,172,765,593,307,11,296
".Prairie County, Arkansas",-654,-181,806,987,-472,-9,-463,-20,-36,80,116,17,-2,19
".Pulaski County, Arkansas","9,162","17,116","50,553","33,437","-7,667","5,758","-13,425",-7,"1,272","5,067","3,795","-1,262",153,"-1,415"
".Randolph County, Arkansas",-11,-255,"2,011","2,266",249,-58,307,-12,-20,235,255,7,-6,13
".St. Francis County, Arkansas","-3,259",566,"3,155","2,589","-3,861",160,"-4,021",-515,-10,305,315,-506,2,-508
".Saline County, Arkansas","15,302","2,481","12,263","9,782","12,729",374,"12,355","1,363",180,"1,280","1,100","1,188",-9,"1,197"
".Scott County, Arkansas",-960,-6,"1,150","1,156",-969,-29,-940,-58,-5,112,117,-53,-5,-48
".Searcy County, Arkansas",-314,-347,720,"1,067",40,23,17,-49,-38,73,111,-9,2,-11
".Sebastian County, Arkansas","2,087","4,228","15,951","11,723","-2,082",721,"-2,803",257,504,"1,780","1,276",-245,-51,-194
".Sevier County, Arkansas",-52,989,"2,457","1,468","-1,041",-1,"-1,040",-54,97,246,149,-152,-22,-130
".Sharp County, Arkansas",179,-780,"1,661","2,441",961,40,921,152,-47,193,240,201,2,199
".Stone County, Arkansas",112,-477,"1,114","1,591",594,-72,666,52,-55,111,166,107,-8,115
".Union County, Arkansas","-2,957",-137,"4,754","4,891","-2,845",-20,"-2,825",-457,-70,480,550,-387,-1,-386
".Van Buren County, Arkansas",-751,-661,"1,488","2,149",-72,58,-130,-90,-109,141,250,20,11,9
".Washington County, Arkansas","36,137","15,891","29,814","13,923","20,089","5,078","15,011","2,576","1,604","3,203","1,599",966,164,802
".White County, Arkansas","1,667","1,266","8,890","7,624",419,272,147,372,44,881,837,333,-27,360
".Woodruff County, Arkansas",-944,-244,700,944,-704,0,-704,-146,-32,70,102,-112,0,-112
".Yell County, Arkansas",-842,193,"2,568","2,375","-1,029",212,"-1,241",-121,14,258,244,-135,-2,-133
".Alameda County, California","161,071","88,031","177,754","89,723","73,199","96,638","-23,439","4,573","7,684","18,628","10,944","-3,086","8,540","-11,626"
".Alpine County, California",-46,-20,58,78,-29,8,-37,40,5,10,5,36,1,35
".Amador County, California","1,661","-1,274","2,691","3,965","2,889",175,"2,714",347,-120,307,427,468,17,451
".Butte County, California",-819,782,"22,527","21,745","-1,604","1,640","-3,244","-11,153",-105,"2,422","2,527","-11,146",103,"-11,249"
".Calaveras County, California",327,"-1,171","3,382","4,553","1,519",204,"1,315",207,-131,397,528,338,15,323
".Colusa County, California",140,"1,438","2,786","1,348","-1,304",-187,"-1,117",129,153,282,129,-23,-33,10
".Contra Costa County, California","104,322","43,086","113,414","70,328","61,677","33,643","28,034","3,007","3,592","12,070","8,478",-581,"2,916","-3,497"
".Del Norte County, California",-798,146,"2,810","2,664",-982,103,"-1,085",72,6,261,255,68,15,53
".El Dorado County, California","11,785","1,042","14,763","13,721","10,861","1,097","9,764","2,097",-75,"1,624","1,699","2,185",75,"2,110"
".Fresno County, California","68,594","80,755","142,608","61,853","-11,772","9,639","-21,411","7,151","7,039","14,506","7,467",131,479,-348
".Glenn County, California",271,"1,305","3,595","2,290","-1,046",-175,-871,426,120,371,251,306,-31,337
".Humboldt County, California",947,"1,330","13,502","12,172",-341,167,-508,-686,-38,"1,352","1,390",-642,-17,-625
".Imperial County, California","6,691","18,410","27,894","9,484","-11,851","2,063","-13,914",-308,"1,649","2,728","1,079","-1,967",33,"-2,000"
".Inyo County, California",-503,51,"1,891","1,840",-547,127,-674,93,19,191,172,75,18,57
".Kern County, California","60,581","74,264","128,382","54,118","-13,469","7,091","-20,560","6,444","6,666","13,144","6,478",-210,81,-291
".Kings County, California",-34,"14,271","21,880","7,609","-14,649",695,"-15,344","1,558","1,434","2,321",887,123,-74,197
".Lake County, California",-276,-969,"6,824","7,793",732,-169,901,69,-117,731,848,189,-26,215
".Lassen County, California","-4,322",638,"2,774","2,136","-5,081",115,"-5,196",-45,79,281,202,-126,7,-133
".Los Angeles County, California","219,139","583,364","1,152,564","569,200","-361,895","293,433","-655,328","-34,799","44,799","112,963","68,164","-79,758","21,050","-100,808"
".Madera County, California","6,493","11,128","20,999","9,871","-4,704",-383,"-4,321",445,"1,048","2,108","1,060",-603,-139,-464
".Marin County, California","6,396","3,468","21,221","17,753","3,079","5,528","-2,449",-836,151,"2,149","1,998",-984,432,"-1,416"
".Mariposa County, California","-1,044",-336,"1,354","1,690",-708,96,-804,-202,-31,149,180,-170,9,-179
".Mendocino County, California","-1,101","1,685","9,521","7,836","-2,718",-153,"-2,565",-652,73,933,860,-720,-60,-660
".Merced County, California","21,884","23,063","38,618","15,555","-1,110",463,"-1,573","3,529","2,299","4,086","1,787","1,237",-144,"1,381"
".Modoc County, California",-841,-226,753,979,-616,69,-685,41,-29,71,100,70,5,65
".Mono County, California",238,871,"1,305",434,-654,517,"-1,171",41,96,126,30,-56,64,-120
".Monterey County, California","19,002","35,696","58,879","23,183","-16,579","3,403","-19,982",111,"3,055","5,797","2,742","-2,940",-90,"-2,850"
".Napa County, California","1,209","1,784","13,062","11,278",-469,"1,157","-1,626","-1,045",-44,"1,235","1,279",-998,-13,-985
".Nevada County, California","1,008","-1,690","7,428","9,118","2,792",101,"2,691",247,-208,778,986,462,-3,465
".Orange County, California","166,703","170,278","348,216","177,938","-1,103","84,009","-85,112",-281,"14,888","36,406","21,518","-15,180","6,178","-21,358"
".Placer County, California","49,827","5,953","34,460","28,507","43,912","2,494","41,418","5,999",241,"3,721","3,480","5,766",79,"5,687"
".Plumas County, California","-1,200",-619,"1,474","2,093",-590,16,-606,66,-56,157,213,123,-3,126
".Riverside County, California","280,781","132,178","279,019","146,841","149,193","14,279","134,914","24,757","11,334","29,482","18,148","13,473",303,"13,170"
".Sacramento County, California","133,323","77,832","181,044","103,212","56,579","37,914","18,665","13,312","6,824","19,192","12,368","6,498","3,042","3,456"
".San Benito County, California","7,543","4,023","6,893","2,870","3,541",-202,"3,743","1,341",450,774,324,888,-38,926
".San Bernardino County, California","144,902","156,894","281,672","124,778","-10,963","12,686","-23,649","13,332","14,118","29,341","15,223",-752,162,-914
".San Diego County, California","242,981","204,933","398,611","193,678","40,821","107,098","-66,277","4,469","17,551","40,603","23,052","-12,998","6,733","-19,731"
".San Francisco County, California","76,365","29,286","82,675","53,389","46,752","55,834","-9,082",853,"2,509","8,868","6,359","-1,596","4,498","-6,094"
".San Joaquin County, California","76,842","44,384","93,390","49,006","32,797","10,082","22,715","9,657","4,137","9,975","5,838","5,529",687,"4,842"
".San Luis Obispo County, California","13,514","2,358","24,056","21,698","11,234",925,"10,309",-243,23,"2,488","2,465",-252,-7,-245
".San Mateo County, California","48,056","38,301","82,316","44,015","10,028","39,956","-29,928","-2,108","3,238","8,425","5,187","-5,343","3,610","-8,953"
".Santa Barbara County, California","22,552","23,723","52,100","28,377",-925,"9,058","-9,983",719,"2,102","5,390","3,288","-1,371",553,"-1,924"
".Santa Clara County, California","146,166","122,281","213,998","91,717","24,874","152,722","-127,848","-4,485","10,455","21,713","11,258","-15,012","13,409","-28,421"
