table with row headers in column A and column headers in rows 3 through 6  (leading dots indicate sub-parts),,,,,,,,,,,,,,
,Total Population Change1,Natural Increase,Vital Events,,Net Migration,,,Total Population Change1,Natural Increase,Vital Events,,Net Migration,,
,,,Births,Deaths,Total,International2,Domestic,,,Births,Deaths,Total,International2,Domestic
".Yellowstone County, Montana","13,309","4,790","18,153","13,363","8,532",477,"8,055","1,271",372,"1,857","1,485",901,43,858
".Adams County, Nebraska",-4,871,"3,745","2,874",-863,366,"-1,229",-151,75,391,316,-227,59,-286
".Antelope County, Nebraska",-387,79,765,686,-470,34,-504,-10,21,80,59,-31,4,-35
".Arthur County, Nebraska",3,-1,38,39,6,0,6,1,0,3,3,3,0,3
".Banner County, Nebraska",55,24,61,37,28,11,17,20,6,9,3,15,0,15
".Blaine County, Nebraska",-13,17,52,35,-31,0,-31,-15,2,6,4,-15,0,-15
".Boone County, Nebraska",-313,-29,567,596,-284,13,-297,-49,-6,56,62,-44,2,-46
".Box Butte County, Nebraska",-525,299,"1,362","1,063",-827,29,-856,50,27,124,97,25,2,23
".Boyd County, Nebraska",-180,-118,159,277,-58,10,-68,-31,-5,14,19,-25,1,-26
".Brown County, Nebraska",-188,-97,259,356,-93,0,-93,-12,-5,27,32,-8,0,-8
".Buffalo County, Nebraska","3,560","3,136","6,349","3,213",442,736,-294,307,263,632,369,46,38,8
".Burt County, Nebraska",-399,-251,637,888,-150,9,-159,-27,-34,64,98,8,1,7
".Butler County, Nebraska",-379,-97,826,923,-281,10,-291,-27,2,87,85,-28,0,-28
".Cass County, Nebraska","1,007",402,"2,591","2,189",616,57,559,59,35,267,232,24,7,17
".Cedar County, Nebraska",-450,39,973,934,-494,2,-496,-51,10,103,93,-61,1,-62
".Chase County, Nebraska",-42,-38,437,475,0,73,-73,-13,-8,45,53,-5,9,-14
".Cherry County, Nebraska",-24,100,671,571,-123,-12,-111,-74,20,77,57,-94,-2,-92
".Cheyenne County, Nebraska","-1,088",226,"1,107",881,"-1,320",-28,"-1,292",-372,2,86,84,-374,-3,-371
".Clay County, Nebraska",-336,76,726,650,-413,-2,-411,1,11,80,69,-9,-1,-8
".Colfax County, Nebraska",194,999,"1,720",721,-818,934,"-1,752",-25,121,193,72,-147,120,-267
".Cuming County, Nebraska",-293,140,"1,021",881,-433,39,-472,-89,22,105,83,-110,-2,-108
".Custer County, Nebraska",-162,-49,"1,172","1,221",-108,-20,-88,-53,-3,125,128,-50,-2,-48
".Dakota County, Nebraska",-980,"1,905","3,385","1,480","-2,918",165,"-3,083",24,232,361,129,-208,0,-208
".Dawes County, Nebraska",-593,77,859,782,-678,103,-781,-116,-4,77,81,-112,6,-118
".Dawson County, Nebraska",-731,"1,733","3,649","1,916","-2,495",938,"-3,433",-149,208,404,196,-358,116,-474
".Deuel County, Nebraska",-138,-63,141,204,-76,7,-83,-27,-2,13,15,-25,1,-26
".Dixon County, Nebraska",-367,117,697,580,-491,55,-546,-64,21,76,55,-85,8,-93
".Dodge County, Nebraska",-120,413,"4,442","4,029",-520,468,-988,-160,54,454,400,-214,61,-275
".Douglas County, Nebraska","54,211","41,549","78,149","36,600","13,107","14,063",-956,"4,936","4,240","8,236","3,996",719,"1,396",-677
".Dundy County, Nebraska",-315,-102,154,256,-215,-25,-190,-71,-8,16,24,-63,-3,-60
".Fillmore County, Nebraska",-428,-221,545,766,-207,2,-209,-73,-1,65,66,-73,0,-73
".Franklin County, Nebraska",-246,-73,277,350,-174,0,-174,-34,8,35,27,-43,0,-43
".Frontier County, Nebraska",-129,58,228,170,-187,11,-198,27,9,24,15,17,0,17
".Furnas County, Nebraska",-283,-156,473,629,-124,1,-125,-25,1,56,55,-27,0,-27
".Gage County, Nebraska",-798,-335,"2,204","2,539",-459,-1,-458,18,-27,228,255,47,1,46
".Garden County, Nebraska",-220,-76,178,254,-146,-1,-145,-53,1,19,18,-54,0,-54
".Garfield County, Nebraska",-80,-166,148,314,86,0,86,-5,-11,18,29,5,0,5
".Gosper County, Nebraska",-54,-12,200,212,-42,0,-42,-6,2,20,18,-8,0,-8
".Grant County, Nebraska",9,37,88,51,-31,0,-31,-34,6,10,4,-41,0,-41
".Greeley County, Nebraska",-182,4,266,262,-191,3,-194,1,6,29,23,-5,0,-5
".Hall County, Nebraska","2,742","3,838","8,813","4,975","-1,074","2,405","-3,479",67,430,953,523,-364,208,-572
".Hamilton County, Nebraska",210,199,954,755,15,1,14,64,22,106,84,44,-1,45
".Harlan County, Nebraska",-37,-41,342,383,6,2,4,-6,-8,31,39,3,0,3
".Hayes County, Nebraska",-38,86,132,46,-129,7,-136,5,15,20,5,-11,1,-12
".Hitchcock County, Nebraska",-146,-73,275,348,-74,8,-82,-39,-17,20,37,-22,0,-22
".Holt County, Nebraska",-368,138,"1,288","1,150",-507,46,-553,-81,19,139,120,-101,6,-107
".Hooker County, Nebraska",-54,-51,62,113,-5,0,-5,6,-1,6,7,7,0,7
".Howard County, Nebraska",171,105,699,594,72,5,67,-12,13,72,59,-25,0,-25
".Jefferson County, Nebraska",-501,-261,715,976,-240,73,-313,-52,-9,73,82,-44,10,-54
".Johnson County, Nebraska",-146,-165,403,568,14,18,-4,-44,-16,41,57,-28,2,-30
".Kearney County, Nebraska",6,69,746,677,-62,-8,-54,-44,18,80,62,-61,-1,-60
".Keith County, Nebraska",-337,-103,758,861,-230,-51,-179,31,3,85,82,29,-5,34
".Keya Paha County, Nebraska",-18,-1,63,64,-17,1,-18,0,-2,6,8,2,0,2
".Kimball County, Nebraska",-189,-88,373,461,-101,65,-166,54,-9,34,43,63,1,62
".Knox County, Nebraska",-369,-129,929,"1,058",-235,18,-253,-73,1,100,99,-73,2,-75
".Lancaster County, Nebraska","33,683","18,023","37,192","19,169","15,788","8,830","6,958","2,563","1,738","3,883","2,145",835,799,36
".Lincoln County, Nebraska","-1,374",616,"3,943","3,327","-1,994",166,"-2,160",-234,68,414,346,-303,17,-320
".Logan County, Nebraska",-15,32,89,57,-48,14,-62,-7,-2,6,8,-4,2,-6
".Loup County, Nebraska",36,2,57,55,33,0,33,47,2,8,6,44,0,44
".McPherson County, Nebraska",-45,-8,26,34,-40,0,-40,4,1,3,2,2,0,2
".Madison County, Nebraska",223,"1,463","4,785","3,322","-1,237",695,"-1,932",-90,128,497,369,-220,71,-291
".Merrick County, Nebraska",-104,63,840,777,-164,-2,-162,22,5,86,81,19,0,19
".Morrill County, Nebraska",-400,-61,477,538,-341,24,-365,-32,3,45,42,-36,3,-39
".Nance County, Nebraska",-216,-71,372,443,-148,20,-168,13,9,37,28,4,1,3
".Nemaha County, Nebraska",-276,-7,755,762,-270,16,-286,15,34,101,67,-19,3,-22
".Nuckolls County, Nebraska",-352,-173,386,559,-175,40,-215,-59,-18,43,61,-42,4,-46
".Otoe County, Nebraska",272,121,"1,816","1,695",161,306,-145,29,38,192,154,-8,31,-39
".Pawnee County, Nebraska",-160,-52,280,332,-106,0,-106,-10,2,33,31,-11,0,-11
".Perkins County, Nebraska",-76,47,345,298,-126,6,-132,-11,7,33,26,-19,1,-20
".Phelps County, Nebraska",-154,15,"1,059","1,044",-164,30,-194,28,24,116,92,4,5,-1
".Pierce County, Nebraska",-118,141,787,646,-259,11,-270,3,20,87,67,-18,0,-18
".Platte County, Nebraska","1,233","1,870","4,436","2,566",-635,597,"-1,232",183,180,461,281,4,73,-69
".Polk County, Nebraska",-189,-80,503,583,-108,43,-151,-27,-2,61,63,-26,3,-29
".Red Willow County, Nebraska",-331,56,"1,199","1,143",-384,55,-439,19,12,135,123,8,7,1
".Richardson County, Nebraska",-498,-239,833,"1,072",-257,1,-258,-73,-28,90,118,-45,1,-46
".Rock County, Nebraska",-171,-71,135,206,-101,0,-101,6,-1,13,14,8,0,8
".Saline County, Nebraska",24,443,"1,756","1,313",-426,624,"-1,050",-112,59,190,131,-173,60,-233
".Sarpy County, Nebraska","28,361","15,108","23,576","8,468","13,294","2,323","10,971","3,134","1,421","2,490","1,069","1,714",107,"1,607"
".Saunders County, Nebraska",800,407,"2,279","1,872",403,56,347,304,45,247,202,261,3,258
".Scotts Bluff County, Nebraska","-1,352",704,"4,514","3,810","-2,056",189,"-2,245",-307,66,454,388,-374,23,-397
".Seward County, Nebraska",534,220,"1,788","1,568",318,87,231,11,32,194,162,-21,9,-30
".Sheridan County, Nebraska",-223,-133,541,674,-88,18,-106,57,-6,57,63,62,3,59
".Sherman County, Nebraska",-151,-51,301,352,-100,1,-101,-43,-1,37,38,-42,0,-42
".Sioux County, Nebraska",-145,26,91,65,-173,0,-173,-20,9,12,3,-28,0,-28
".Stanton County, Nebraska",-208,271,670,399,-484,35,-519,-50,30,68,38,-81,3,-84
".Thayer County, Nebraska",-225,-214,494,708,-11,10,-21,-36,-26,47,73,-10,2,-12
".Thomas County, Nebraska",75,32,74,42,45,9,36,8,6,6,0,3,0,3
".Thurston County, Nebraska",285,685,"1,397",712,-403,28,-431,-50,69,152,83,-119,1,-120
".Valley County, Nebraska",-102,-33,457,490,-69,59,-128,-39,0,46,46,-39,8,-47
".Washington County, Nebraska",497,339,"1,960","1,621",123,77,46,112,31,207,176,83,10,73
".Wayne County, Nebraska",-207,329,923,594,-542,61,-603,67,27,95,68,41,1,40
".Webster County, Nebraska",-325,-202,328,530,-124,-1,-123,-47,-8,39,47,-40,0,-40
".Wheeler County, Nebraska",-35,28,74,46,-63,0,-63,-19,2,7,5,-20,0,-20
".York County, Nebraska",14,184,"1,596","1,412",-164,32,-196,-69,35,170,135,-103,1,-104
".Churchill County, Nevada",34,484,"2,941","2,457",-474,302,-776,403,67,327,260,336,-5,341
".Clark County, Nevada","315,447","105,372","247,787","142,415","208,889","23,319","185,570","40,600","9,129","27,048","17,919","31,283",-360,"31,643"
".Douglas County, Nevada","1,905","-1,368","3,041","4,409","3,304",-23,"3,327",416,-262,287,549,675,-16,691
".Elko County, Nevada","3,836","4,094","6,757","2,663",-347,-209,-138,239,404,775,371,-165,-45,-120
".Esmeralda County, Nevada",89,-47,49,96,129,-2,131,46,-1,6,7,46,0,46
".Eureka County, Nevada",42,24,149,125,10,0,10,31,2,12,10,29,0,29
".Humboldt County, Nevada",310,"1,160","2,304","1,144",-879,2,-881,53,109,221,112,-56,-1,-55
".Lander County, Nevada",-243,424,795,371,-679,31,-710,-15,39,76,37,-55,-2,-53
".Lincoln County, Nevada",-156,-105,362,467,-60,-20,-40,-54,-7,55,62,-49,-2,-47
".Lyon County, Nevada","5,528",129,"5,424","5,295","5,375",-293,"5,668","1,697",45,664,619,"1,645",-46,"1,691"
".Mineral County, Nevada",-265,-224,484,708,-45,58,-103,-39,-43,57,100,5,0,5
".Nye County, Nevada","2,578","-2,948","3,443","6,391","5,505",-328,"5,833","1,337",-356,379,735,"1,684",-63,"1,747"
".Pershing County, Nevada",-27,73,509,436,-117,-3,-114,40,10,53,43,29,0,29
".Storey County, Nevada",110,-115,153,268,219,-20,239,142,-10,11,21,151,-4,155
".Washoe County, Nevada","50,090","14,927","49,456","34,529","35,047",-287,"35,334","7,165","1,227","5,259","4,032","5,894",-387,"6,281"
".White Pine County, Nevada",-446,116,977,861,-566,43,-609,40,8,104,96,33,4,29
".Carson City, Nevada",647,"-1,018","5,427","6,445","1,641",-181,"1,822",714,-39,598,637,752,-43,795
".Belknap County, New Hampshire","1,228","-1,440","4,828","6,268","2,721",493,"2,228",158,-297,478,775,460,28,432
".Carroll County, New Hampshire","1,087","-1,667","3,220","4,887","2,795",185,"2,610",156,-257,325,582,412,10,402
".Cheshire County, New Hampshire","-1,037",-368,"6,223","6,591",-631,565,"-1,196",184,-82,636,718,269,52,217
".Coos County, New Hampshire","-1,489","-1,728","2,274","4,002",187,39,148,77,-194,225,419,272,-2,274
".Grafton County, New Hampshire",747,-668,"6,819","7,487","1,481","2,269",-788,185,-149,681,830,340,131,209
".Hillsborough County, New Hampshire","16,319","9,873","39,447","29,574","6,672","13,569","-6,897","2,395",758,"4,148","3,390","1,652","1,002",650
".Merrimack County, New Hampshire","4,940",-43,"12,391","12,434","5,104","3,462","1,642",741,-83,"1,305","1,388",830,279,551
".Rockingham County, New Hampshire","14,565","2,602","24,273","21,671","12,234","2,695","9,539","1,482",144,"2,663","2,519","1,354",181,"1,173"
".Strafford County, New Hampshire","7,482","1,717","11,287","9,570","5,783","2,868","2,915",836,91,"1,163","1,072",743,259,484
".Sullivan County, New Hampshire",-593,-353,"3,682","4,035",-210,151,-361,32,-52,380,432,84,7,77
".Atlantic County, New Jersey","-10,855","3,762","28,213","24,451","-14,717","7,275","-21,992",-319,-75,"2,718","2,793",-236,271,-507
".Bergen County, New Jersey","27,095","20,267","85,984","65,717","7,419","29,695","-22,276",-614,"1,905","9,153","7,248","-2,530","1,909","-4,439"
".Burlington County, New Jersey","-3,381","5,197","41,792","36,595","-8,430","4,525","-12,955",604,311,"4,333","4,022",319,120,199
".Camden County, New Jersey","-7,064","14,608","57,595","42,987","-21,811","9,831","-31,642",118,"1,182","5,923","4,741","-1,054",556,"-1,610"
".Cape May County, New Jersey","-5,218","-4,081","7,966","12,047","-1,037","1,060","-2,097",-407,-565,734,"1,299",166,-15,181
".Cumberland County, New Jersey","-7,100","4,541","18,338","13,797","-11,725","3,190","-14,915","-1,108",322,"1,757","1,435","-1,435",74,"-1,509"
".Essex County, New Jersey","15,084","40,633","95,665","55,032","-25,915","37,153","-63,068",405,"3,708","10,165","6,457","-3,331","3,009","-6,340"
".Gloucester County, New Jersey","2,880","3,899","27,564","23,665",-838,"1,749","-2,587",111,147,"2,841","2,694",-25,61,-86
".Hudson County, New Jersey","38,107","58,957","94,703","35,746","-21,094","65,090","-86,184",460,"5,648","10,019","4,371","-5,164","5,294","-10,458"
".Hunterdon County, New Jersey","-2,990",275,"8,605","8,330","-3,298",947,"-4,245",-436,-37,972,"1,009",-397,63,-460
".Mercer County, New Jersey",-55,"11,634","38,444","26,810","-11,831","16,366","-28,197",-758,"1,034","4,021","2,987","-1,815","1,182","-2,997"
".Middlesex County, New Jersey","15,024","33,811","88,049","54,238","-19,151","45,218","-64,369","-1,110","2,623","8,907","6,284","-3,776","3,354","-7,130"
".Monmouth County, New Jersey","-11,567","4,471","54,831","50,360","-15,998","4,606","-20,604","-1,664",-223,"5,644","5,867","-1,428",191,"-1,619"
".Morris County, New Jersey",-436,"8,528","43,289","34,761","-8,914","10,741","-19,655","-1,225",711,"4,568","3,857","-1,944",628,"-2,572"
".Ocean County, New Jersey","30,640","11,004","77,150","66,146","20,232","2,143","18,089","5,708","1,464","8,555","7,091","4,266",42,"4,224"
".Passaic County, New Jersey",226,"29,999","63,850","33,851","-30,130","23,565","-53,695","-1,357","2,833","6,602","3,769","-4,208","1,837","-6,045"
".Salem County, New Jersey","-3,687",-340,"6,400","6,740","-3,376",417,"-3,793",-361,-72,684,756,-291,9,-300
".Somerset County, New Jersey","5,455","8,951","30,723","21,772","-3,448","8,929","-12,377","-1,247",420,"3,033","2,613","-1,681",598,"-2,279"
".Sussex County, New Jersey","-8,448",503,"11,459","10,956","-9,065",287,"-9,352",-313,-59,"1,207","1,266",-250,-5,-245
".Union County, New Jersey","19,877","26,329","63,068","36,739","-6,335","24,601","-30,936",-61,"2,543","6,738","4,195","-2,629","2,002","-4,631"
".Warren County, New Jersey","-3,375",-328,"8,737","9,065","-3,031","1,293","-4,324",-261,-42,927,969,-219,104,-323
".Bernalillo County, New Mexico","16,644","22,584","72,804","50,220","-5,421","10,647","-16,068","1,087","1,181","7,130","5,949",-51,773,-824
".Catron County, New Mexico",-200,-180,169,349,-22,-3,-19,-27,-18,10,28,-9,0,-9
".Chaves County, New Mexico","-1,033","2,282","8,366","6,084","-3,293",509,"-3,802",61,184,819,635,-122,26,-148
".Cibola County, New Mexico",-540,967,"3,348","2,381","-1,518",190,"-1,708",-91,43,306,263,-134,9,-143
".Colfax County, New Mexico","-1,810",-182,"1,147","1,329","-1,645",63,"-1,708",-130,-14,110,124,-115,-3,-112
".Curry County, New Mexico",578,"4,661","8,269","3,608","-4,153","1,307","-5,460",-384,446,824,378,-829,-8,-821
".De Baca County, New Mexico",-276,-107,140,247,-171,16,-187,-31,-3,13,16,-27,1,-28
".Doña Ana County, New Mexico","8,978","12,954","27,022","14,068","-4,004","2,240","-6,244",917,"1,015","2,630","1,615",-96,128,-224
".Eddy County, New Mexico","4,632","2,483","7,638","5,155","2,121",569,"1,552",731,255,805,550,475,47,428
".Grant County, New Mexico","-2,514",-367,"2,765","3,132","-2,131",58,"-2,189",-305,-69,256,325,-231,-10,-221
".Guadalupe County, New Mexico",-388,-16,391,407,-378,-3,-375,-34,-2,41,43,-32,0,-32
".Harding County, New Mexico",-70,-33,42,75,-39,1,-40,-25,-7,2,9,-18,0,-18
".Hidalgo County, New Mexico",-700,55,496,441,-768,10,-778,-33,-10,41,51,-23,1,-24
".Lea County, New Mexico","6,344","5,350","10,279","4,929",919,"1,104",-185,"1,527",579,"1,086",507,945,22,923
".Lincoln County, New Mexico",-921,-229,"1,689","1,918",-695,138,-833,54,-33,174,207,89,18,71
".Los Alamos County, New Mexico","1,419",424,"1,565","1,141",964,690,274,381,62,173,111,318,62,256
".Luna County, New Mexico","-1,386",780,"3,544","2,764","-2,169",88,"-2,257",-168,65,346,281,-231,16,-247
".McKinley County, New Mexico",-118,"4,418","9,926","5,508","-4,557",489,"-5,046",-544,175,817,642,-721,17,-738
".Mora County, New Mexico",-360,-29,375,404,-332,-6,-326,34,-7,30,37,42,0,42
".Otero County, New Mexico","3,658","2,995","8,450","5,455",585,"3,739","-3,154",831,319,934,615,513,263,250
".Quay County, New Mexico",-787,-203,889,"1,092",-595,107,-702,11,-5,90,95,18,16,2
".Rio Arriba County, New Mexico","-1,299","1,043","4,795","3,752","-2,343",349,"-2,692",-102,-42,417,459,-58,30,-88
".Roosevelt County, New Mexico","-1,340","1,195","2,596","1,401","-2,592",368,"-2,960",-259,108,253,145,-369,34,-403
".Sandoval County, New Mexico","15,127","3,929","13,508","9,579","11,223",102,"11,121","1,652",260,"1,405","1,145","1,392",-22,"1,414"
".San Juan County, New Mexico","-6,087","6,996","16,172","9,176","-13,162",109,"-13,271","-1,541",301,"1,410","1,109","-1,849",-12,"-1,837"
".San Miguel County, New Mexico","-2,098",142,"2,723","2,581","-2,271",557,"-2,828",-203,-24,247,271,-181,41,-222
".Santa Fe County, New Mexico","6,126","1,686","12,092","10,406","4,578","2,090","2,488",597,-2,"1,189","1,191",605,63,542
".Sierra County, New Mexico","-1,205","-1,293",926,"2,219",89,-13,102,-158,-138,98,236,-19,1,-20
".Socorro County, New Mexico","-1,224",329,"1,918","1,589","-1,580",389,"-1,969",-67,27,175,148,-95,47,-142
".Taos County, New Mexico",-210,18,"2,763","2,745",-205,175,-380,24,-46,271,317,72,-14,86
".Torrance County, New Mexico",-919,51,"1,452","1,401",-997,391,"-1,388",-51,3,153,150,-53,23,-76
".Union County, New Mexico",-494,-47,371,418,-450,-14,-436,-49,1,38,37,-49,-2,-47
".Valencia County, New Mexico",103,"2,023","7,918","5,895","-1,921",133,"-2,054",383,133,832,699,253,-21,274
".Albany County, New York","1,298","3,862","28,901","25,039","-2,391","8,538","-10,929","-1,079",248,"3,024","2,776","-1,326",546,"-1,872"
".Allegany County, New York","-2,832",172,"4,512","4,340","-3,033",398,"-3,431",-241,-15,445,460,-226,28,-254
".Bronx County, New York","33,627","106,368","195,134","88,766","-73,764","115,162","-188,926","-13,880","8,529","19,674","11,145","-22,506","8,697","-31,203"
".Broome County, New York","-10,187",-680,"18,733","19,413","-9,552","3,714","-13,266","-1,437",-193,"1,920","2,113","-1,250",248,"-1,498"
".Cattaraugus County, New York","-4,220",482,"8,188","7,706","-4,720",230,"-4,950",-609,-47,801,848,-560,5,-565
".Cayuga County, New York","-3,432",184,"7,159","6,975","-3,610",458,"-4,068",-545,30,741,711,-576,26,-602
".Chautauqua County, New York","-8,004",-674,"12,718","13,392","-7,370","1,524","-8,894",-569,-116,"1,282","1,398",-450,21,-471
".Chemung County, New York","-5,391",94,"8,887","8,793","-5,499",356,"-5,855",-479,-84,859,943,-394,17,-411
".Chenango County, New York","-3,304",-477,"4,694","5,171","-2,826",35,"-2,861",-238,-65,470,535,-171,-2,-169
".Clinton County, New York","-1,646",595,"7,100","6,505","-2,229",779,"-3,008",-194,12,756,744,-204,49,-253
".Columbia County, New York","-3,605","-1,386","4,849","6,235","-2,178",516,"-2,694",-324,-187,489,676,-135,43,-178
".Cortland County, New York","-1,709",323,"4,403","4,080","-2,037",212,"-2,249",-141,50,472,422,-191,19,-210
".Delaware County, New York","-3,827","-1,385","3,565","4,950","-2,425",248,"-2,673",-391,-226,345,571,-163,19,-182
".Dutchess County, New York","-3,236","1,914","24,498","22,584","-5,138","4,102","-9,240",279,-181,"2,584","2,765",479,232,247
".Erie County, New York",-432,"2,086","92,010","89,924","-1,904","22,801","-24,705","-1,015",-9,"9,756","9,765",-986,"1,278","-2,264"
".Essex County, New York","-2,488",-854,"2,900","3,754","-1,632",250,"-1,882",-403,-105,308,413,-296,4,-300
".Franklin County, New York","-1,579",241,"4,513","4,272","-1,846",182,"-2,028",-257,-80,444,524,-177,-6,-171
".Fulton County, New York","-2,130",-631,"4,935","5,566","-1,485",118,"-1,603",-250,-48,517,565,-203,0,-203
".Genesee County, New York","-2,654",-311,"5,414","5,725","-2,342",222,"-2,564",-207,-88,542,630,-118,2,-120
".Greene County, New York","-2,026","-1,076","3,727","4,803",-923,466,"-1,389",-193,-156,384,540,-34,20,-54
".Hamilton County, New York",-425,-277,279,556,-147,-11,-136,-16,-35,28,63,18,-2,20
".Herkimer County, New York","-3,150",-476,"5,828","6,304","-2,664",164,"-2,828",-394,-99,560,659,-295,2,-297
".Jefferson County, New York","-6,398","10,875","19,170","8,295","-17,420","3,033","-20,453","-2,032",994,"1,913",919,"-3,026",-45,"-2,981"
".Kings County, New York","55,182","227,925","378,278","150,353","-172,268","128,893","-301,161","-18,171","19,568","37,786","18,218","-37,742","8,203","-45,945"
